langName	fam
Amharic	afas
Arabic	afas
Berber	afas
Hausa	afas
Hebrew	afas
Maltese	afas
Margi	afas
Oromo	afas
Shoshone	afas
Somali	afas
Tigrinya	afas
Blackfoot	algi
Cheyenne	algi
Cree	algi
Ojibwa	algi
Daur	altc
Evenki	altc
Kirghiz	altc
Mongolian	altc
Turkish	altc
Erromangan	anes
Fijian	anes
Hawaiian	anes
Illocano	anes
Indonesian	anes
Javanese	anes
Kambera	anes
Kilivila	anes
Lenakel	anes
Malagasy	anes
Malay	anes
Maori	anes
Rapanui	anes
Rotuman	anes
Samoan	anes
Sundanese	anes
Tagalog	anes
Tahitian	anes
Tetun	anes
Toba Batak	anes
Tokelauan	anes
Tongan	anes
Trukese	anes
Tukang Besi	anes
Tuvaluan	anes
Ulithian	anes
Warekena	arwk
Burushaski	asis
Gilyak	asis
Korean	asis
Khmer	ausa
Vietnamese	ausa
Arabana-Wangganguru	aust
Arrernte	aust
Diyari	aust
Dyirbal	aust
Pitjantjatjara	aust
Tiwi	aust
Warlpiri	aust
Basque	basq
Tol	cais
Apalaí	cari
Hixkaryana	cari
Wai Wai	cari
Wari	chaw
Chukchee	chka
Quileute	chmn
Kannada	drav
Kota	drav
Malayalam	drav
Tamil	drav
Telugu	drav
West Greenlandic	eska
Pomo	hoka
Washoe	hoka
Afrikaans	ieur
Albanian	ieur
Armenian	ieur
Bengali	ieur
Breton	ieur
Bulgarian	ieur
Catalan	ieur
Croatian	ieur
Czech	ieur
Danish	ieur
Dutch	ieur
English	ieur
Faroese	ieur
Farsi	ieur
French	ieur
Friesian	ieur
Gaelic	ieur
German	ieur
Greek	ieur
Gujarati	ieur
Hindi	ieur
Icelandic	ieur
Irish	ieur
Italian	ieur
Kashmiri	ieur
Kurdish	ieur
Latvian	ieur
Lithuanian	ieur
Marathi	ieur
Norwegian	ieur
Panjabi	ieur
Pashto	ieur
Polish	ieur
Portuguese	ieur
Provençal	ieur
Romanian	ieur
Romany	ieur
Russian	ieur
Sanskrit	ieur
Serbian	ieur
Sindhi	ieur
Sinhalese	ieur
Slovakian	ieur
Slovenian	ieur
Sorbian	ieur
Spanish	ieur
Swedish	ieur
Ukrainian	ieur
Welsh	ieur
Yiddish	ieur
Cherokee	iroq
Oneida	iroq
Seneca	iroq
Japanese	japo
Georgian	kart
!Xu	khoi
Nama	khoi
Kiowa	kita
Canela-Kraho	macg
Mam	maya
Quiché	maya
Tzeltal	maya
Zoque	mizo
Pirahã	mura
Chipewyan	nadn
Haida	nadn
Navajo	nadn
Tlingit	nadn
Zuni	nais
Abkhaz	ncau
Kabardian	ncau
Akan	ncon
Dan	ncon
Efik	ncon
Éwé	ncon
Fula	ncon
Igbo	ncon
Ijo	ncon
Kamba	ncon
Kpelle	ncon
Mende	ncon
Shona	ncon
Sotho	ncon
Swahili	ncon
Tswana	ncon
Wolof	ncon
Yoruba	ncon
Zulu	ncon
Acooli	nsah
Dinka	nsah
Kanuri	nsah
Maasai	nsah
Ngiti	nsah
Mazateco	otma
Mixtec	otma
Zapotec	otma
Cashinahua	pano
Yagua	pbya
Papiamentu	utaz
Klamath	penu
Maidu	penu
Miwok	penu
Nez Perce	penu
Wintu	penu
Quechua	quch
Yimas	sepr
Crow	siou
Dakota	siou
Amoy	sitb
Burmese	sitb
Cantonese	sitb
Karen	sitb
Mandarin	sitb
Meithei	sitb
Tibetan	sitb
Tiwa	sitb
Laotian	taik
Thai	taik
Totonaco	toto
Amele	trng
Dani	trng
Fore	trng
Kobon	trng
Koiari	trng
Madi	trng
Guarani	tupi
Urubu-Kaapor	tupi
Estonian	urlc
Finnish	urlc
Hungarian	urlc
Mari	urlc
Ostyak	urlc
Saami	urlc
Hopi	utaz
Luiseno	utaz
Nahuatl	utaz
Pima	utaz
Kwakwala	waka
Nootka	waka
Sanumá	yano
Ket	yeos
